Index;Word;Weight
1;le;1,0
2;de;1,0
3;et;1,0
4;un;1,0
5;être;1,0
6;à;1,0
7;il;1,0
8;avoir;1,0
9;je;1,0
10;que;1,0
11;pas;1,0
12;dans;1,0
13;en;1,0
14;ce;1,0
15;faire;0,3
16;sur;1,0
17;temps;0,6
18;par;1,0
19;aussi;0,6
20;avec;1,0
21;mais;1,0
22;tout;1,0
23;plus;0,6
24;très;0,6
25;travailler;0,3
26;aujourd'hui;0,6
27;là;0,6
28;vrai;0,6
29;nous;1,0
30;dernier;0,6
31;comment;0,6
32;travail;0,6
33;les;1,0
34;sans;0,6
35;parmi;0,6
36;sous;0,6
37;demander;0,3
38;jour;0,6
39;chose;0,6
40;fois;0,6
41;qui;1,0
42;vie;0,6
43;manière;0,6
44;petit;0,6
45;aller;0,3
46;demain;0,6
47;pourquoi;0,6
48;moment;0,6
49;ou;1,0
50;bien;0,6
51;hier;0,6
52;chez;0,6
53;savoir;0,3
54;premier;0,6
55;entre;0,6
56;quand;0,6
57;ne;1,0
58;peuple;0,6
59;page;0,6
60;ici;0,6
61;utiliser;0,3
62;du;1,0
63;an;0,6
64;parler;0,3
65;se;1,0
66;quel;0,6
67;venir;0,3
68;vous;1,0
69;monde;0,6
70;chercher;0,3
71;pour;1,0
72;raison;0,6
73;dire;0,3
74;ils;1,0
75;cas;0,6
76;vouloir;0,3
77;au;1,0
78;autre;0,6
79;garder;0,3
80;si;1,0
81;maintenant;0,6
82;voir;0,3
83;comme;1,0
84;numéro;0,6
85;penser;0,3
86;elles;1,0
87;partie;0,6
88;pouvoir;0,3
89;elle;1,0
90;grand;0,6
91;sembler;0,3
92;des;1,0
93;point;0,6
94;lire;0,3
95;important;0,1
96;différent;0,1
97;information;0,1
98;gouvernement;0,1
99;question;0,1
100;exemple;0,1
