Index;Word;Weight
1;di;1,0
2;e;1,0
3;il;1,0
4;la;1,0
5;che;1,0
6;a;1,0
7;per;1,0
8;essere;1,0
9;in;1,0
10;un;1,0
11;non;1,0
12;avere;1,0
13;si;1,0
14;con;1,0
15;una;1,0
16;come;1,0
17;fare;0,3
18;più;0,6
19;ma;1,0
20;sono;1,0
21;tempo;0,6
22;tu;0,6
23;vita;0,6
24;andare;0,3
25;mondo;0,6
26;sopra;0,6
27;caso;0,6
28;qui;0,6
29;giorno;0,6
30;sentire;0,3
31;paese;0,6
32;primo;0,6
33;loro;0,6
34;questo;0,6
35;lavorare;0,3
36;numero;0,6
37;voi;0,6
38;noi;0,6
39;luogo;0,6
40;volere;0,3
41;giusto;0,6
42;cosa;0,6
43;gruppo;0,6
44;sotto;0,6
45;pensare;0,3
46;quello;0,6
47;tra;0,6
48;volta;0,6
49;lungo;0,6
50;vedere;0,3
51;senza;0,6
52;momento;0,6
53;insieme;0,6
54;lei;0,6
55;potere;0,3
56;ieri;0,6
57;lavoro;0,6
58;vero;0,6
59;città;0,6
60;chiedere;0,3
61;fianco;0,6
62;grande;0,6
63;gente;0,6
64;oggi;0,6
65;usare;0,3
66;argomento;0,6
67;punto;0,6
68;altro;0,6
69;buono;0,6
70;tenere;0,3
71;persona;0,6
72;piuttosto;0,6
73;anche;0,6
74;anno;0,6
75;venire;0,3
76;modo;0,6
77;ora;0,6
78;solo;0,6
79;regione;0,6
80;ricordare;0,3
81;breve;0,6
82;pagina;0,6
83;ragione;0,6
84;lui;0,6
85;cercare;0,3
86;parte;0,6
87;sistema;0,6
88;domani;0,6
89;ho;1,0
90;piccolo;0,6
91;dire;0,3
92;ha;1,0
93;nuovo;0,6
94;sapere;0,3
95;importante;0,1
96;differente;0,1
97;informazione;0,1
98;governo;0,1
99;domanda;0,1
100;esempio;0,1
