Index;Word;Weight
1;и;1,0
2;в;1,0
3;не;1,0
4;на;1,0
5;я;1,0
6;он;1,0
7;но;1,0
8;что;1,0
9;как;1,0
10;она;1,0
11;мы;1,0
12;вы;1,0
13;они;1,0
14;с;1,0
15;по;1,0
16;за;1,0
17;это;1,0
18;человек;0,6
19;время;0,6
20;если;1,0
21;или;1,0
22;его;1,0
23;жизнь;0,6
24;делать;0,3
25;когда;0,6
26;работа;0,6
27;причина;0,6
28;потом;0,6
29;брать;0,3
30;перед;0,6
31;вопрос;0,6
32;между;0,6
33;примерно;0,6
34;среди;0,6
35;вместе;0,6
36;страница;0,6
37;хотеть;0,3
38;после;0,6
39;всегда;0,6
40;маленький;0,6
41;получать;0,3
42;очень;0,6
43;часть;0,6
44;способ;0,6
45;работать;0,3
46;плохой;0,6
47;система;0,6
48;никогда;0,6
49;понимать;0,3
50;ещё;0,6
51;уже;0,6
52;над;0,6
53;играть;0,3
54;тогда;0,6
55;тоже;0,6
56;хороший;0,6
57;мочь;0,3
58;случай;0,6
59;через;0,6
60;мир;0,6
61;использовать;0,3
62;без;0,6
63;около;0,6
64;действительно;0,6
65;читать;0,3
66;обычно;0,6
67;только;0,6
68;знать;0,3
69;номер;0,6
70;жить;0,3
71;момент;0,6
72;спрашивать;0,3
73;редко;0,6
74;видеть;0,3
75;первый;0,6
76;искать;0,3
77;новый;0,6
78;смотреть;0,3
79;иногда;0,6
80;давать;0,3
81;к;1,0
82;большой;0,6
83;идти;0,3
84;из;1,0
85;возможно;0,6
86;держать;0,3
87;все;1,0
88;под;0,6
89;писать;0,3
90;от;1,0
91;сейчас;0,6
92;сказать;0,3
93;при;1,0
94;сторона;0,6
95;думать;0,3
96;информация;0,1
97;правительство;0,1
98;возможность;0,1
99;различный;0,1
100;объяснение;0,1
