Index;Word;Weight
1;och;1,0
2;i;1,0
3;det;1,0
4;är;1,0
5;att;1,0
6;en;1,0
7;till;1,0
8;på;1,0
9;för;1,0
10;med;1,0
11;som;1,0
12;inte;1,0
13;den;1,0
14;han;1,0
15;hon;1,0
16;vi;1,0
17;de;1,0
18;men;1,0
19;eller;1,0
20;folk;0,6
21;göra;0,3
22;värld;0,6
23;hur;0,6
24;nu;0,6
25;arbete;0,6
26;deras;0,6
27;liten;0,6
28;tillsammans;0,6
29;ändå;0,3
30;punkt;0,6
31;mycket;0,6
32;mot;0,6
33;söka;0,3
34;kunna;0,6
35;rätt;0,6
36;ögonblick;0,6
37;känna;0,3
38;innan;0,6
39;under;0,6
40;endast;0,6
41;använda;0,3
42;något;0,6
43;hennes;0,6
44;dag;0,6
45;tidigare;0,3
46;när;0,6
47;sida;0,6
48;liv;0,6
49;hålla;0,3
50;fråga;0,6
51;vår;0,6
52;plats;0,6
53;vilja;0,3
54;lång;0,6
55;exempel;0,6
56;del;0,6
57;veta;0,3
58;ny;0,6
59;igen;0,6
60;mer;0,6
61;tänka;0,3
62;senaste;0,6
63;skall;0,6
64;tid;0,6
65;se;0,3
66;annan;0,6
67;igenom;0,6
68;år;0,6
69;undra;0,3
70;ens;0,6
71;också;0,6
72;hans;0,6
73;behöva;0,3
74;över;0,6
75;stad;0,6
76;hus;0,6
77;få;0,3
78;land;0,6
79;verka;0,3
80;sin;0,6
81;gå;0,3
82;vad;0,6
83;komma;0,3
84;stor;0,6
85;tidigt;0,3
86;utan;0,6
87;nyligen;0,3
88;efter;0,6
89;säga;0,3
90;ni;1,0
91;nummer;0,6
92;exempelvis;0,6
93;sig;1,0
94;många;0,6
95;arbeta;0,3
96;situation;0,1
97;information;0,1
98;regering;0,1
99;naturligtvis;0,1
100;skillnad;0,1
