Index;Word;Weight
1;the;1
2;and;1
3;in;1
4;to;1
5;of;1
6;is;1
7;with;1
8;that;1
9;have;1
10;you;1
11;people;0,6
12;time;0,6
13;good;0,6
14;world;0,6
15;because;0,6
16;working;0,6
17;when;0,6
18;some;0,6
19;just;0,6
20;life;0,6
21;making;0,6
22;new;0,6
23;right;0,6
24;can;0,6
25;getting;0,6
26;out;0,6
27;one;0,6
28;which;0,6
29;seem;0,3
30;only;0,6
31;up;0,6
32;so;0,6
33;used;0,3
34;would;0,6
35;will;0,6
36;tell;0,3
37;man;0,6
38;call;0,3
39;about;0,6
40;looked;0,3
41;but;1
42;what;0,6
43;thinking;0,6
44;are;1
45;way;0,6
46;wanted;0,6
47;there;1
48;very;0,6
49;going;0,6
50;at;1
51;more;0,6
52;having;0,6
53;from;1
54;first;0,6
55;really;0,6
56;be;1
57;long;0,6
58;know;0,6
59;was;1
60;still;0,6
61;without;0,6
62;they;1
63;great;0,6
64;taking;0,6
65;it;1
66;other;0,6
67;feel;0,3
68;or;1
69;also;0,6
70;work;0,6
71;not;1
72;how;0,6
73;asked;0,3
74;for;1
75;well;0,6
76;keep;0,3
77;by;1
78;their;0,6
79;being;0,6
80;an;1
81;thing;0,6
82;through;0,6
83;this;1
84;little;0,6
85;made;0,6
86;on;1
87;who;0,6
88;early;0,3
89;if;1
90;day;0,6
91;using;0,6
92;as;1
93;into;0,6
94;needed;0,3
95;different;0,1
96;important;0,1
97;information;0,1
98;government;0,1
99;question;0,1
100;example;0,1
