Index;Word;Weight
1;ja;1,0
2;on;1,0
3;että;1,0
4;se;1,0
5;ei;1,0
6;minä;1,0
7;sinä;1,0
8;hän;1,0
9;me;1,0
10;te;1,0
11;he;1,0
12;mutta;1,0
13;tai;1,0
14;kun;1,0
15;jos;1,0
16;ihmiset;0,6
17;mitä;0,6
18;olla;1,0
19;aika;0,6
20;missä;0,6
21;elämä;0,6
22;tehdä;0,3
23;maailma;0,6
24;nyt;0,6
25;työ;0,6
26;kaupunki;0,6
27;ajatus;0,6
28;lapsi;0,6
29;pyytää;0,3
30;nainen;0,6
31;vain;0,6
32;yhdessä;0,6
33;kävellä;0,3
34;hetki;0,6
35;numero;0,6
36;syy;0,6
37;aloittaa;0,3
38;mies;0,6
39;kuinka;0,6
40;ilman;0,6
41;mennä;0,3
42;sivu;0,6
43;vuosi;0,6
44;tämä;0,6
45;tarjota;0,3
46;muoto;0,6
47;tuo;0,6
48;kautta;0,6
49;erittäin;0,6
50;miksi;0,6
51;ennen;0,6
52;meidän;0,6
53;nähdä;0,3
54;hyvä;0,6
55;päivä;0,6
56;koti;0,6
57;oppia;0,3
58;uusi;0,6
59;käsi;0,6
60;loppu;0,6
61;pitää;0,3
62;hyvin;0,6
63;esitys;0,6
64;voi;0,6
65;oli;0,3
66;viime;0,6
67;olette;0,3
68;sitten;0,6
69;katsoa;0,3
70;tilanne;0,6
71;saada;0,3
72;oikea;0,6
73;ennenkin;0,3
74;maa;0,6
75;sanoa;0,3
76;niiden;0,6
77;tulla;0,3
78;ensimmäinen;0,6
79;etsiä;0,3
80;niin;0,6
81;ovat;0,3
82;pitkä;0,6
83;olemme;0,3
84;teidän;0,6
85;kysyä;0,3
86;muutos;0,6
87;haluta;0,3
88;osio;0,6
89;muistaa;0,3
90;vasen;0,6
91;tarvita;0,3
92;sen;1,0
93;asia;0,6
94;käyttää;0,3
95;erilainen;0,1
96;ymmärtäminen;0,1
97;tärkeintä;0,1
98;hallitus;0,1
99;kysymys;0,1
100;esimerkki;0,1
