Index;Word;Weight
1;og;1,0
2;i;1,0
3;det;1,0
4;er;1,0
5;at;1,0
6;en;1,0
7;til;1,0
8;på;1,0
9;for;1,0
10;med;1,0
11;som;1,0
12;ikke;1,0
13;der;1,0
14;han;1,0
15;hun;1,0
16;vi;1,0
17;de;1,0
18;men;1,0
19;eller;1,0
20;folk;0,6
21;gøre;0,3
22;verden;0,6
23;hvad;0,6
24;nu;0,6
25;arbejde;0,6
26;hendes;0,6
27;mange;0,6
28;sammen;0,6
29;bruge;0,3
30;meget;0,6
31;uden;0,6
32;nummer;0,6
33;vide;0,3
34;under;0,6
35;side;0,6
36;efter;0,6
37;nylig;0,3
38;ret;0,6
39;hvornår;0,6
40;min;0,6
41;sige;0,3
42;deres;0,6
43;ny;0,6
44;mod;0,6
45;ønske;0,3
46;vores;0,6
47;alle;0,6
48;inden;0,6
49;behøve;0,3
50;dag;0,6
51;anden;0,6
52;over;0,6
53;se;0,3
54;punkt;0,6
55;del;0,6
56;igennem;0,6
57;alligevel;0,3
58;lille;0,6
59;også;0,6
60;tid;0,6
61;virke;0,3
62;land;0,6
63;jer;0,6
64;kunne;0,6
65;eksempelvis;0,3
66;selv;0,6
67;din;0,6
68;liv;0,6
69;gå;0,3
70;kun;0,6
71;hans;0,6
72;lang;0,6
73;tidligt;0,3
74;sted;0,6
75;skal;0,6
76;hus;0,6
77;føle;0,3
78;nogen;0,6
79;sag;0,6
80;by;0,6
81;lede;0,3
82;sidst;0,6
83;stor;0,6
84;noget;0,6
85;arbejder;0,3
86;igen;0,6
87;spørge;0,3
88;eksempel;0,6
89;holde;0,3
90;sådan;0,6
91;tænke;0,3
92;vil;0,6
93;komme;0,3
94;år;0,6
95;få;0,3
96;spørgsmål;0,1
97;information;0,1
98;regering;0,1
99;vigtig;0,1
100;forskel;0,1
