Index;Word;Weight
1;de;1,0
2;en;1,0
3;in;1,0
4;het;1,0
5;ik;1,0
6;van;1,0
7;is;1,0
8;dat;1,0
9;zijn;1,0
10;op;1,0
11;met;1,0
12;niet;1,0
13;hij;1,0
14;hebben;1,0
15;mensen;0,6
16;tijd;0,6
17;maar;0,6
18;maken;0,3
19;wereld;0,6
20;voor;1,0
21;worden;1,0
22;kunnen;0,6
23;goed;0,6
24;ook;0,6
25;werken;0,3
26;zeker;0,6
27;manier;0,6
28;onder;0,6
29;want;1,0
30;vrouw;0,6
31;uit;0,6
32;later;0,6
33;geven;0,3
34;daar;0,6
35;man;0,6
36;land;0,6
37;door;1,0
38;werk;0,6
39;toch;0,6
40;stad;0,6
41;gaan;0,3
42;moment;0,6
43;groot;0,6
44;misschien;0,6
45;over;1,0
46;nu;0,6
47;nummer;0,6
48;gewoon;0,6
49;gebruiken;0,3
50;antwoord;0,6
51;moeten;0,6
52;bijna;0,6
53;om;1,0
54;terwijl;0,6
55;nieuw;0,6
56;willen;0,6
57;blijven;0,3
58;geen;0,6
59;groep;0,6
60;nog;0,6
61;zij;1,0
62;kind;0,6
63;vaak;0,6
64;al;0,6
65;zien;0,3
66;punt;0,6
67;tussen;0,6
68;alleen;0,6
69;bij;1,0
70;deel;0,6
71;jaar;0,6
72;vroeg;0,6
73;houden;0,3
74;dag;0,6
75;samen;0,6
76;soort;0,6
77;aan;1,0
78;zonder;0,6
79;hier;0,6
80;leven;0,6
81;zeggen;0,3
82;reden;0,6
83;naar;1,0
84;klein;0,6
85;denken;0,3
86;als;1,0
87;meer;0,6
88;krijgen;0,3
89;wij;1,0
90;huis;0,6
91;nemen;0,3
92;een;1,0
93;water;0,6
94;weten;0,3
95;anders;0,1
96;belangrijk;0,1
97;informatie;0,1
98;regering;0,1
99;vraag;0,1
100;voorbeeld;0,1
