Index;Word;Weight
1;der;1,0
2;und;1,0
3;in;1,0
4;ich;1,0
5;nicht;1,0
6;die;1,0
7;zu;1,0
8;ist;1,0
9;mit;1,0
10;er;1,0
11;auf;1,0
12;haben;1,0
13;wir;1,0
14;sie;1,0
15;Leben;0,6
16;Arbeit;0,6
17;wenn;1,0
18;machen;0,3
19;Zeit;0,6
20;aber;1,0
21;Frage;0,6
22;gut;0,6
23;heute;0,6
24;Welt;0,6
25;kommen;0,3
26;Ende;0,6
27;Beispiel;0,6
28;seit;0,6
29;dem;1,0
30;Wort;0,6
31;Seite;0,6
32;unter;0,6
33;nach;1,0
34;sehr;0,6
35;Kind;0,6
36;Haus;0,6
37;oder;1,0
38;Stadt;0,6
39;damit;0,6
40;zwischen;0,6
41;helfen;0,3
42;aus;1,0
43;Tag;0,6
44;finden;0,3
45;sich;1,0
46;Jahr;0,6
47;bringen;0,3
48;über;1,0
49;jetzt;0,6
50;rechnen;0,3
51;für;1,0
52;mehr;0,6
53;arbeiten;0,3
54;am;1,0
55;obwohl;0,6
56;kaufen;0,3
57;den;1,0
58;morgen;0,6
59;schreiben;0,3
60;hat;1,0
61;Frau;0,6
62;schlafen;0,3
63;wird;1,0
64;Grund;0,6
65;brauchen;0,3
66;des;1,0
67;Leute;0,6
68;sehen;0,3
69;im;1,0
70;Land;0,6
71;reisen;0,3
72;als;1,0
73;Hand;0,6
74;denken;0,3
75;an;1,0
76;während;0,6
77;bleiben;0,3
78;es;1,0
79;immer;0,6
80;sagen;0,3
81;ohne;1,0
82;Teil;0,6
83;laufen;0,3
84;vor;1,0
85;dann;0,6
86;zeigen;0,3
87;das;1,0
88;hier;0,6
89;fragen;0,3
90;bei;1,0
91;wieder;0,6
92;lassen;0,3
93;durch;1,0
94;Mann;0,6
95;wissen;0,3
96;verschieden;0,1
97;Möglichkeit;0,1
98;Information;0,1
99;Regierung;0,1
100;Unterschied;0,1
