Index;Word;Weight
1;og;1,0
2;i;1,0
3;det;1,0
4;er;1,0
5;å;1,0
6;en;1,0
7;til;1,0
8;på;1,0
9;for;1,0
10;med;1,0
11;som;1,0
12;ikke;1,0
13;han;1,0
14;hun;1,0
15;vi;1,0
16;de;1,0
17;men;1,0
18;eller;1,0
19;folk;0,6
20;gjøre;0,3
21;verden;0,6
22;hva;0,6
23;nå;0,6
24;også;0,6
25;arbeid;0,6
26;annen;0,6
27;del;0,6
28;sist;0,6
29;trenge;0,3
30;land;0,6
31;sak;0,6
32;kun;0,6
33;spørre;0,3
34;gjennom;0,6
35;over;0,6
36;tidspunkt;0,6
37;komme;0,3
38;øyeblikk;0,6
39;liten;0,6
40;igjen;0,6
41;bruke;0,3
42;særlig;0,6
43;hennes;0,6
44;eksempel;0,6
45;tidlig;0,3
46;deres;0,6
47;sin;0,6
48;kunne;0,6
49;si;0,3
50;mot;0,6
51;rett;0,6
52;hus;0,6
53;gå;0,3
54;nummer;0,6
55;noe;0,6
56;innen;0,6
57;arbeide;0,3
58;skal;0,6
59;under;0,6
60;stor;0,6
61;likevel;0,3
62;sammen;0,6
63;liv;0,6
64;når;0,6
65;vite;0,3
66;hvordan;0,6
67;punkt;0,6
68;sted;0,6
69;få;0,3
70;uten;0,6
71;dag;0,6
72;selv;0,6
73;føle;0,3
74;side;0,6
75;område;0,6
76;tid;0,6
77;nylig;0,3
78;mange;0,6
79;mye;0,6
80;tema;0,6
81;ønske;0,3
82;etter;0,6
83;vil;0,6
84;søke;0,3
85;hans;0,6
86;se;0,3
87;år;0,6
88;eksempelvis;0,3
89;by;0,6
90;holde;0,3
91;vår;0,6
92;tenke;0,3
93;seg;1,0
94;ny;0,6
95;virke;0,3
96;spørsmål;0,1
97;informasjon;0,1
98;regjering;0,1
99;viktig;0,1
100;forskjell;0,1
