Index;Word;Weight
1;i;1,0
2;w;1,0
3;nie;1,0
4;to;1,0
5;że;1,0
6;na;1,0
7;się;1,0
8;z;1,0
9;do;1,0
10;jest;1,0
11;co;1,0
12;ale;1,0
13;dla;1,0
14;jak;0,6
15;o;1,0
16;tak;0,6
17;ten;0,6
18;być;0,3
19;ludzie;0,6
20;czas;0,6
21;móc;0,3
22;dziś;0,6
23;robić;0,3
24;życie;0,6
25;kiedy;0,6
26;teraz;0,6
27;praca;0,6
28;ona;0,6
29;kraj;0,6
30;potrzebować;0,3
31;pod;0,6
32;więcej;0,6
33;część;0,6
34;świat;0,6
35;trzymać;0,3
36;długi;0,6
37;przez;0,6
38;przyjaciel;0,6
39;pierwszy;0,6
40;brać;0,3
41;czy;0,6
42;po;0,6
43;tylko;0,6
44;miasto;0,6
45;powiedzieć;0,3
46;kobieta;0,6
47;dobry;0,6
48;dziecko;0,6
49;ty;0,6
50;wydawać;0,3
51;między;0,6
52;oni;0,6
53;tam;0,6
54;strona;0,6
55;dostać;0,3
56;bo;0,6
57;raz;0,6
58;numer;0,6
59;temat;0,6
60;zobaczyć;0,3
61;człowiek;0,6
62;dzień;0,6
63;ostatni;0,6
64;moment;0,6
65;pytać;0,3
66;mały;0,6
67;nowy;0,6
68;też;0,6
69;punkt;0,6
70;używać;0,3
71;system;0,6
72;już;0,6
73;bez;0,6
74;dom;0,6
75;dokładnie;0,3
76;bym;0,6
77;rok;0,6
78;nad;0,6
79;grupa;0,6
80;czuć;0,3
81;wczoraj;0,6
82;przed;0,6
83;jutro;0,6
84;my;0,6
85;szukać;0,3
86;mężczyzna;0,6
87;jeszcze;0,6
88;rodzina;0,6
89;tutaj;0,6
90;chcieć;0,3
91;rzecz;0,6
92;pomagać;0,3
93;przypadek;0,6
94;myśleć;0,3
95;ważny;0,1
96;różny;0,1
97;informacja;0,1
98;rząd;0,1
99;pytanie;0,1
100;przykład;0,1
