Index;Word;Weight
1;de;1,0
2;la;1,0
3;en;1,0
4;el;1,0
5;y;1,0
6;ser;1,0
7;que;1,0
8;a;1,0
9;no;1,0
10;los;1,0
11;tener;1,0
12;con;1,0
13;por;1,0
14;para;1,0
15;gente;0,6
16;hacer;0,3
17;tiempo;0,6
18;bien;0,6
19;estar;1,0
20;también;0,6
21;todo;0,6
22;más;0,6
23;vida;0,6
24;ir;0,3
25;mundo;0,6
26;cosa;0,6
27;aquí;0,6
28;grupo;0,6
29;querer;0,3
30;otro;0,6
31;último;0,6
32;país;0,6
33;poder;0,3
34;entre;0,6
35;lado;0,6
36;sin;0,6
37;un;1,0
38;primero;0,6
39;sistema;0,6
40;momento;0,6
41;pensar;0,3
42;sobre;0,6
43;ahora;0,6
44;debajo;0,6
45;sus;1,0
46;parte;0,6
47;vez;0,6
48;grande;0,6
49;mantener;0,3
50;punto;0,6
51;razón;0,6
52;cómo;0,6
53;al;1,0
54;trabajo;0,6
55;ayer;0,6
56;persona;0,6
57;saber;0,3
58;número;0,6
59;tema;0,6
60;pequeño;0,6
61;su;1,0
62;correcto;0,6
63;hoy;0,6
64;lugar;0,6
65;pedir;0,3
66;quién;0,6
67;ciudad;0,6
68;manera;0,6
69;lo;1,0
70;qué;0,6
71;del;1,0
72;año;0,6
73;venir;0,3
74;se;1,0
75;este;0,6
76;sentir;0,3
77;le;1,0
78;sólo;0,6
79;ver;0,3
80;pero;1,0
81;día;0,6
82;usar;0,3
83;las;1,0
84;caso;0,6
85;decir;0,3
86;hay;1,0
87;yo;0,6
88;necesitar;0,3
89;como;1,0
90;cuando;0,6
91;parecer;0,3
92;una;1,0
93;mañana;0,6
94;buscar;0,3
95;diferente;0,1
96;importante;0,1
97;información;0,1
98;gobierno;0,1
99;pregunta;0,1
100;ejemplo;0,1
