Index;Word;Weight
1;ve;1,0
2;bir;1,0
3;bu;1,0
4;da;1,0
5;için;1,0
6;ile;1,0
7;o;1,0
8;ben;1,0
9;sen;1,0
10;biz;1,0
11;siz;1,0
12;onlar;1,0
13;ne;1,0
14;ama;1,0
15;değil;1,0
16;var;1,0
17;yok;1,0
18;zaman;0,6
19;insanlar;0,6
20;yapmak;0,3
21;hayat;0,6
22;çok;0,6
23;iyi;0,6
24;daha;0,6
25;olmak;0,3
26;an;0,6
27;sayfa;0,6
28;iş;0,6
29;bulmak;0,3
30;sistem;0,6
31;yeni;0,6
32;güzel;0,6
33;hissetmek;0,3
34;kaynak;0,6
35;erkek;0,6
36;uzun;0,6
37;sevmek;0,3
38;cevap;0,6
39;numara;0,6
40;nasıl;0,6
41;gitmek;0,3
42;sabah;0,6
43;kısa;0,6
44;kadın;0,6
45;düşünmek;0,3
46;şey;0,6
47;gece;0,6
48;örneğin;0,6
49;kullanışlı;0,6
50;başlamak;0,3
51;küçük;0,6
52;kullanmak;0,3
53;ay;0,6
54;görmek;0,3
55;zaten;0,6
56;insanlara;0,3
57;neden;0,6
58;paylaşmak;0,3
59;bölüm;0,6
60;oynamak;0,3
61;nokta;0,6
62;gelmek;0,3
63;yıl;0,6
64;bitirmek;0,3
65;ülke;0,6
66;açmak;0,3
67;süreç;0,6
68;okumak;0,3
69;soru;0,6
70;çalışıyor;0,3
71;bağlantı;0,6
72;durmak;0,3
73;gün;0,6
74;bilmek;0,3
75;ev;0,6
76;yazmak;0,3
77;hafta;0,6
78;yürümek;0,3
79;taraf;0,6
80;günlerde;0,3
81;konu;0,6
82;beklemek;0,3
83;büyük;0,6
84;çalışmak;0,3
85;akşam;0,6
86;konuşmak;0,3
87;şehir;0,6
88;geliyorum;0,3
89;çocuk;0,6
90;göstermek;0,3
91;gerçek;0,6
92;kapatmak;0,3
93;artık;0,6
94;söylemek;0,3
95;kötü;0,6
96;seçmek;0,3
97;gereksinim;0,1
98;hükümet;0,1
99;karşılaştırma;0,1
100;değerlendirme;0,1
